"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"ROCK CREEK LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","2","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","6","1","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","19","2","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"C&O CANAL","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FOUNDRY BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ANACOSTIA LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","63","2","N/A - no Class C WQ criteria","63","N/A - no Class C WQ criteria","27","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","56","4","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","19","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","26","0","N/A - no Class C WQ criteria","26","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","32","0","N/A - no Class C WQ criteria","32","N/A - no Class C WQ criteria","28","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","25","1","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","7","1","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","7","0","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","2","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","6","1","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","19","2","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"C&O CANAL","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FOUNDRY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","63","1","0","63","0","27","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","105","0","0","105","0","68","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"BROAD BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","25","0","0","25","0","24","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","1","0","0","1","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","26","2","2","26","2","24","15","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","Yes","Keep in Category 4a","1"
"FENWICK BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","1","0","0","1","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","29","0","0","29","0","25","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"HICKEY RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","6","0","0","6","0","3","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"KINGMAN LAKE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","25","1","0","25","0","3","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"KLINGLE VALLEY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","1","0","0","1","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","1","0","0","1","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","25","0","0","25","0","24","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Keep in Category 3","9"
"NASH RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","7","0","0","7","0","3","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"OXON RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","1","0","0","1","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","1","0","0","1","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","1","0","0","1","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"POPE BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","7","1","1","7","1","4","5","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No","Keep in Category 4a","5"
"PORTAL BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","2","0","0","2","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","24","1","1","24","1","24","17","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","Yes","Move to Category 3","18"
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","1","0","0","1","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","6","1","1","6","1","3","4","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No","Keep in Category 4a","5"
"TIDAL BASIN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","3","0","0","3","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","19","0","0","19","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Remove from Category 3","8"
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","7","0","0","7","0","4","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","24","0","0","24","0","24","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Move to Category 3","2"
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"C&O CANAL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","CHRYSENE","PAH2",NA,"4a","D","63","2","N/A - no Class C WQ criteria","63","N/A - no Class C WQ criteria","27","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","CHRYSENE","PAH2",NA,"4a","D","56","7","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","19","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","CHRYSENE","PAH2",NA,"Not Listed","none","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","CHRYSENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","CHRYSENE","PAH2",NA,"3","D","26","0","N/A - no Class C WQ criteria","26","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","CHRYSENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","CHRYSENE","PAH2",NA,"4a","D","32","1","N/A - no Class C WQ criteria","32","N/A - no Class C WQ criteria","28","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","CHRYSENE","PAH2",NA,"4a","D","6","2","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","CHRYSENE","PAH2",NA,"4a","D","25","3","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","CHRYSENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","CHRYSENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","CHRYSENE","PAH2",NA,"3","D","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","CHRYSENE","PAH2",NA,"4a","D","7","3","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","CHRYSENE","PAH2",NA,"Not Listed","none","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","CHRYSENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","CHRYSENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","CHRYSENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","CHRYSENE","PAH2",NA,"4a","D","7","1","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","CHRYSENE","PAH2",NA,"3","D","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","CHRYSENE","PAH2",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","CHRYSENE","PAH2",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","CHRYSENE","PAH2",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","CHRYSENE","PAH2",NA,"Not Listed","none","24","2","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","CHRYSENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","CHRYSENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
