"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","n_d_exceedance_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","tidal_type","decision_description","decision_case_number"
"HICKEY RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","5","6","2","2 (D)","6","2","3","0","3 (D)","1.2999999999999999E-3","10.8 - 63.1","No","Non-tidal","Keep in in Category 4a","1"
"KINGMAN LAKE","BENZO_A_ANTHRACENE","PAH2",NA,"4a","13","25","3","3 (D)","25","3","15","1","10 (D)","1.2999999999999999E-3","10.8 - 63.1","Yes","Tidal","Keep in in Category 4a","1"
"KLINGLE VALLEY","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Keep in in Category 3","9"
"NASH RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","7","3","3 (D)","7","3","3","1","1 (D)","1.2999999999999999E-3","10.8 - 63.1","Yes","Non-tidal","Keep in in Category 4a","1"
"NORMANSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Take no action","15"
"OXON RUN","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","7","1","1 (D)","7","1","4","0","4 (D)","1.2999999999999999E-3","10.8 - 63.1","No","Non-tidal","Keep in in Category 4a","1"
"PORTAL BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","10 (D)","1.2999999999999999E-3","10.8 - 63.1","Yes","Tidal","Move to Category 5","14"
"POTOMAC UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","9 (D)","1.2999999999999999E-3","10.8 - 63.1","Yes","Tidal","Move to Category 5","14"
"ROCK CREEK LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","11 (D)","1.2999999999999999E-3","10.8 - 63.1","Yes","Non-tidal","Move to Category 5","14"
"SOAPSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","6","1","1 (D)","6","1","3","0","3 (D)","1.2999999999999999E-3","10.8 - 63.1","No","Non-tidal","Keep in in Category 4a","1"
"TIDAL BASIN","BENZO_A_ANTHRACENE","PAH2",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_A_ANTHRACENE","PAH2",NA,"3","7","19","2","2 (D)","19","2","12","2","4 (D)","1.2999999999999999E-3","10.8 - 63.1","Yes","Tidal","Move to Category 5","7"
"WATTS BRANCH LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-3","10.8 - 63.1",NA,"Non-tidal","Keep in in Category 3","9"
"ANACOSTIA LOWER","BENZO_A_PYRENE","PAH3",NA,"4a","24","52","2","2 (D)","52","2","40","2","18 (D)","1.2999999999999999E-4","100 - 1540","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","BENZO_A_PYRENE","PAH3",NA,"4a","14","56","4","4 (D)","56","4","37","1","28 (D)","1.2999999999999999E-4","100 - 1540","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","15","15","1","1 (D)","14","1","13","1","8 (D)","1.2999999999999999E-4","100 - 1540","Yes","Non-tidal","Move to Category 5","14"
"DALECARLIA TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_A_PYRENE","PAH3",NA,"3","15","16","0","0 (D)","15","0","13","0","0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Keep in in Category 3","9"
"FENWICK BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","2","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","19","20","0","0 (D)","20","0","16","0","0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Move to Category 3","2"
"HICKEY RUN","BENZO_A_PYRENE","PAH3",NA,"4a","5","6","0","0 (D)","6","0","3","0","0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Move to Category 3","2"
"KINGMAN LAKE","BENZO_A_PYRENE","PAH3",NA,"4a","13","25","2","2 (D)","25","2","15","0","15 (D)","1.2999999999999999E-4","100 - 1540","No","Tidal","Keep in in Category 4a","1"
"KLINGLE VALLEY","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","3","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Keep in in Category 3","9"
"NASH RUN","BENZO_A_PYRENE","PAH3",NA,"4a","6","7","2","2 (D)","7","2","3","1","1 (D)","1.2999999999999999E-4","100 - 1540","Yes","Non-tidal","Keep in in Category 4a","1"
"NORMANSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","2","2","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Take no action","15"
"OXON RUN","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","4","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","3","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","BENZO_A_PYRENE","PAH3",NA,"4a","6","7","0","0 (D)","7","0","4","0","0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Move to Category 3","2"
"PORTAL BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","10 (D)","1.2999999999999999E-4","100 - 1540","Yes","Tidal","Move to Category 5","14"
"POTOMAC UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","9 (D)","1.2999999999999999E-4","100 - 1540","Yes","Tidal","Move to Category 5","14"
"ROCK CREEK LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","14","21","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Take no action","15"
"ROCK CREEK UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","6","23","4","4 (D)","0","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540","No","Non-tidal","Take no action","15"
"SOAPSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"3","2","2","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","6","6","0","0 (D)","6","0","3","0","0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Move to Category 3","2"
"TIDAL BASIN","BENZO_A_PYRENE","PAH3",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_A_PYRENE","PAH3",NA,"3","7","19","1","1 (D)","19","1","12","1","4 (D)","1.2999999999999999E-4","100 - 1540","Yes","Tidal","Move to Category 5","7"
"WATTS BRANCH LOWER","BENZO_A_PYRENE","PAH3",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_A_PYRENE","PAH3",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-4","100 - 1540",NA,"Non-tidal","Keep in in Category 3","9"
"ANACOSTIA LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","24","52","2","2 (D)","52","2","40","2","18 (D)","1.2999999999999999E-2","4 - 7.38","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","14","56","4","4 (D)","56","4","37","2","28 (D)","1.2999999999999999E-2","4 - 7.38","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","14","14","0","0 (D)","14","0","13","0","0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_K_FLUORANTHENE","PAH3",NA,"3","14","15","0","0 (D)","15","0","13","0","0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Keep in in Category 3","9"
"FENWICK BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","19","20","0","0 (D)","20","0","16","0","0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Move to Category 3","2"
"HICKEY RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","5","6","0","0 (D)","6","0","3","0","0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Move to Category 3","2"
"KINGMAN LAKE","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","13","25","1","1 (D)","25","1","15","0","15 (D)","1.2999999999999999E-2","4 - 7.38","No","Tidal","Keep in in Category 4a","1"
"KLINGLE VALLEY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Keep in in Category 3","9"
"NASH RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","7","1","1 (D)","7","1","3","1","1 (D)","1.2999999999999999E-2","4 - 7.38","Yes","Non-tidal","Keep in in Category 4a","1"
"NORMANSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Take no action","15"
"OXON RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","7","0","0 (D)","7","0","4","0","0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Move to Category 3","2"
"PORTAL BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","10 (D)","1.2999999999999999E-2","4 - 7.38","Yes","Tidal","Move to Category 5","14"
"POTOMAC UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","9 (D)","1.2999999999999999E-2","4 - 7.38","Yes","Tidal","Move to Category 5","14"
"ROCK CREEK LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","11 (D)","1.2999999999999999E-2","4 - 7.38","Yes","Non-tidal","Move to Category 5","14"
"SOAPSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","6","1","1 (D)","6","1","3","0","3 (D)","1.2999999999999999E-2","4 - 7.38","No","Non-tidal","Keep in in Category 4a","1"
"TIDAL BASIN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_K_FLUORANTHENE","PAH3",NA,"3","7","19","2","2 (D)","19","2","12","2","4 (D)","1.2999999999999999E-2","4 - 7.38","Yes","Tidal","Move to Category 5","7"
"WATTS BRANCH LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-2","4 - 7.38",NA,"Non-tidal","Keep in in Category 3","9"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","24","52","1","1 (D)","52","1","40","0","48 (D)","3.2000000000000003E-4","4.38 - 212.9","No","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","17","105","0","0 (D)","105","0","86","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Tidal","Move to Category 3","2"
"BROAD BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","14","14","0","0 (D)","14","0","13","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Move to Category 3","2"
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","14","15","2","2 (D)","15","2","13","2","4 (D)","3.2000000000000003E-4","4.38 - 212.9","Yes","Non-tidal","Keep in in Category 4a","1"
"FENWICK BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","16","17","0","0 (D)","17","0","13","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Take no action","15"
"HICKEY RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","5","6","0","0 (D)","6","0","3","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Move to Category 3","2"
"KINGMAN LAKE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","13","25","1","1 (D)","25","1","15","0","20 (D)","3.2000000000000003E-4","4.38 - 212.9","No","Tidal","Keep in in Category 4a","1"
"KLINGLE VALLEY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Move to Category 3","2"
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Keep in in Category 3","9"
"NASH RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","0","0 (D)","7","0","3","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Move to Category 3","2"
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Take no action","15"
"OXON RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Move to Category 3","2"
"POPE BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","1","1 (D)","7","1","4","0","5 (D)","3.2000000000000003E-4","4.38 - 212.9","No","Non-tidal","Keep in in Category 4a","1"
"PORTAL BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Tidal","Take no action","15"
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","6 (D)","3.2000000000000003E-4","4.38 - 212.9","Yes","Non-tidal","Move to Category 5","14"
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Move to Category 3","2"
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","6","1","1 (D)","6","1","3","0","4 (D)","3.2000000000000003E-4","4.38 - 212.9","No","Non-tidal","Keep in in Category 4a","1"
"TIDAL BASIN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","7","19","0","0 (D)","19","0","12","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Tidal","Keep in in Category 3","9"
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","0","0 (D)","7","0","4","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Move to Category 3","2"
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","13","13","0","0 (D)","13","0","13","0","0 (D)","3.2000000000000003E-4","4.38 - 212.9",NA,"Non-tidal","Move to Category 3","2"
"ANACOSTIA LOWER","CHRYSENE","PAH2",NA,"4a","24","52","2","2 (D)","52","2","40","2","18 (D)","0.13","0.1 - .677","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","CHRYSENE","PAH2",NA,"4a","14","56","7","1 (D)","56","1","37","0","49 (D)","0.13","0.1 - .677","No","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","CHRYSENE","PAH2",NA,"Not Listed","14","14","0","0 (D)","14","0","13","0","0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","CHRYSENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","CHRYSENE","PAH2",NA,"3","14","15","0","0 (D)","15","0","13","0","0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","10"
"FENWICK BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","CHRYSENE","PAH2",NA,"4a","19","20","1","0 (D)","20","0","16","0","0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 4a","3"
"HICKEY RUN","CHRYSENE","PAH2",NA,"4a","5","6","2","0 (D)","6","0","3","0","0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 4a","3"
"KINGMAN LAKE","CHRYSENE","PAH2",NA,"4a","13","25","3","1 (D)","25","1","15","0","15 (D)","0.13","0.1 - .677","No","Tidal","Keep in in Category 4a","1"
