"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","fish_tissue_results_class_d","decision_description","decision_case_number","updated_tmdl"
"POTOMAC MIDDLE","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","90","0.000156 - 0.000789",NA,"No exceedances","Take no action","15","No"
"POTOMAC UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","90","0.000156 - 0.000789",NA,"No exceedances","Take no action","15","No"
"ROCK CREEK LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Take no action","15","No"
"ROCK CREEK UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","6","6","0","0","6","0","3","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"TIDAL BASIN","ACENAPHTHENE","PAH1",NA,"3","3","3","0","0","3","0","0","0","90","0.000156 - 0.000789",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","ACENAPHTHENE","PAH1",NA,"3","7","19","0","0","19","0","12","0","90","0.000156 - 0.000789",NA,"No exceedances","Remove from Category 3","10","No"
"WATTS BRANCH LOWER","ACENAPHTHENE","PAH1",NA,"3","3","3","0","0","3","0","0","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","8","No"
"WATTS BRANCH UPPER","ACENAPHTHENE","PAH1",NA,"3","13","13","0","0","13","0","13","0","90","0.000156 - 0.000789",NA,"NA - not sampled","Remove from Category 3","10","No"
"BATTERY KEMBLE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"4a","24","52","2","2","52","2","40","18","0.0013","10.8 - 63.1","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"ANACOSTIA UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"4a","14","56","5","5","56","5","37","28","0.0013","10.8 - 63.1","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"BROAD BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","14","14","0","0","14","0","13","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","BENZO_A_ANTHRACENE","PAH2",NA,"3","14","15","0","0","15","0","13","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Keep in in Category 3","9","No"
"FENWICK BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","19","20","1","1","20","1","16","16","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"HICKEY RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","5","6","2","2","6","2","3","3","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in in Category 4a","1","Yes"
"KINGMAN LAKE","BENZO_A_ANTHRACENE","PAH2",NA,"4a","13","25","3","3","25","3","15","10","0.0013","10.8 - 63.1","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"KLINGLE VALLEY","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","14","14","0","0","14","0","13","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Keep in in Category 3","9","No"
"NASH RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","7","3","3","7","3","3","1","0.0013","10.8 - 63.1","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"NORMANSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","1","1","0","0","1","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","7","1","1","7","1","4","4","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"PORTAL BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","2","0","0","2","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","0.0013","10.8 - 63.1",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","10","0.0013","10.8 - 63.1","Yes","No exceedances","Move to Category 3","18","No"
"POTOMAC UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","9","0.0013","10.8 - 63.1","Yes","No exceedances","Move to Category 3","18","No"
"ROCK CREEK LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","11","0.0013","10.8 - 63.1","Yes","NA - not sampled","Move to Category 3","18","No"
"ROCK CREEK UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","6","1","1","6","1","3","3","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"TIDAL BASIN","BENZO_A_ANTHRACENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","0.0013","10.8 - 63.1",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","BENZO_A_ANTHRACENE","PAH2",NA,"3","7","19","2","2","19","2","12","4","0.0013","10.8 - 63.1","Yes","No exceedances","Move to Category 5","7","No"
"WATTS BRANCH LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Remove from Category 3","8","No"
"WATTS BRANCH UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"3","13","13","0","0","13","0","13","0","0.0013","10.8 - 63.1",NA,"NA - not sampled","Keep in in Category 3","9","No"
"BATTERY KEMBLE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","BENZO_A_PYRENE","PAH3",NA,"4a","24","52","2","2","52","2","40","18","0.00013","100 - 1540","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"ANACOSTIA UPPER","BENZO_A_PYRENE","PAH3",NA,"4a","14","56","4","4","56","4","37","28","0.00013","100 - 1540","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"BROAD BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","15","15","1","1","14","1","13","8","0.00013","100 - 1540","Yes","NA - not sampled","Move to Category 3","18","No"
"DALECARLIA TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","BENZO_A_PYRENE","PAH3",NA,"3","15","16","0","0","15","0","13","0","0.00013","100 - 1540",NA,"NA - not sampled","Keep in in Category 3","9","No"
"FENWICK BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","2","0","0","1","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00013","100 - 1540",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","19","20","0","0","20","0","16","0","0.00013","100 - 1540",NA,"NA - not sampled","Move to Category 3","2","Yes"
"HICKEY RUN","BENZO_A_PYRENE","PAH3",NA,"4a","5","6","0","0","6","0","3","0","0.00013","100 - 1540",NA,"NA - not sampled","Move to Category 3","2","Yes"
"KINGMAN LAKE","BENZO_A_PYRENE","PAH3",NA,"4a","13","25","2","2","25","2","15","15","0.00013","100 - 1540","No","No exceedances","Keep in in Category 4a","1","Yes"
"KLINGLE VALLEY","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","3","0","0","1","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","14","14","0","0","14","0","13","0","0.00013","100 - 1540",NA,"NA - not sampled","Keep in in Category 3","9","No"
"NASH RUN","BENZO_A_PYRENE","PAH3",NA,"4a","6","7","2","2","7","2","3","1","0.00013","100 - 1540","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"NORMANSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","2","2","0","0","1","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","4","0","0","1","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","3","0","0","1","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","BENZO_A_PYRENE","PAH3",NA,"4a","6","7","0","0","7","0","4","0","0.00013","100 - 1540",NA,"NA - not sampled","Move to Category 3","2","Yes"
"PORTAL BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","1","2","0","0","2","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00013","100 - 1540",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","10","0.00013","100 - 1540","Yes","No exceedances","Move to Category 3","18","No"
"POTOMAC UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","9","0.00013","100 - 1540","Yes","No exceedances","Move to Category 3","18","No"
"ROCK CREEK LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","14","21","0","0","13","0","13","0","0.00013","100 - 1540",NA,"NA - not sampled","Take no action","15","No"
"ROCK CREEK UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","6","23","4","4","0","0","0","0","0.00013","100 - 1540","No","NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"3","2","2","0","0","1","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","6","6","0","0","6","0","3","0","0.00013","100 - 1540",NA,"NA - not sampled","Move to Category 3","2","Yes"
"TIDAL BASIN","BENZO_A_PYRENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","0.00013","100 - 1540",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","BENZO_A_PYRENE","PAH3",NA,"3","7","19","1","1","19","1","12","4","0.00013","100 - 1540","Yes","No exceedances","Keep in in Category 3","12","No"
"WATTS BRANCH LOWER","BENZO_A_PYRENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","0.00013","100 - 1540",NA,"NA - not sampled","Remove from Category 3","8","No"
"WATTS BRANCH UPPER","BENZO_A_PYRENE","PAH3",NA,"3","13","13","0","0","13","0","13","0","0.00013","100 - 1540",NA,"NA - not sampled","Keep in in Category 3","9","No"
"BATTERY KEMBLE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","24","52","2","2","52","2","40","18","0.013","4 - 7.38","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"ANACOSTIA UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","14","56","4","4","56","4","37","28","0.013","4 - 7.38","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"BROAD BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","14","14","0","0","14","0","13","0","0.013","4 - 7.38",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","BENZO_K_FLUORANTHENE","PAH3",NA,"3","14","15","0","0","15","0","13","0","0.013","4 - 7.38",NA,"NA - not sampled","Keep in in Category 3","9","No"
"FENWICK BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","0.013","4 - 7.38",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","19","20","0","0","20","0","16","0","0.013","4 - 7.38",NA,"NA - not sampled","Move to Category 3","2","Yes"
"HICKEY RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","5","6","0","0","6","0","3","0","0.013","4 - 7.38",NA,"NA - not sampled","Move to Category 3","2","Yes"
"KINGMAN LAKE","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","13","25","1","1","25","1","15","15","0.013","4 - 7.38","No","No exceedances","Keep in in Category 4a","5","Yes"
"KLINGLE VALLEY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","14","14","0","0","14","0","13","0","0.013","4 - 7.38",NA,"NA - not sampled","Keep in in Category 3","9","No"
"NASH RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","7","1","1","7","1","3","1","0.013","4 - 7.38","Yes","NA - not sampled","Keep in in Category 4a","5","Yes"
"NORMANSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","1","1","0","0","1","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","7","0","0","7","0","4","0","0.013","4 - 7.38",NA,"NA - not sampled","Move to Category 3","2","Yes"
"PORTAL BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","2","0","0","2","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","0.013","4 - 7.38",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","10","0.013","4 - 7.38","Yes","No exceedances","Move to Category 3","18","No"
"POTOMAC UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","9","0.013","4 - 7.38","Yes","No exceedances","Move to Category 3","18","No"
"ROCK CREEK LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","11","0.013","4 - 7.38","Yes","NA - not sampled","Move to Category 3","18","No"
"ROCK CREEK UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","6","1","1","6","1","3","3","0.013","4 - 7.38","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"TIDAL BASIN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","0.013","4 - 7.38",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","BENZO_K_FLUORANTHENE","PAH3",NA,"3","7","19","2","2","19","2","12","4","0.013","4 - 7.38","Yes","No exceedances","Move to Category 5","7","No"
"WATTS BRANCH LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","0.013","4 - 7.38",NA,"NA - not sampled","Remove from Category 3","8","No"
"WATTS BRANCH UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","13","13","0","0","13","0","13","0","0.013","4 - 7.38",NA,"NA - not sampled","Keep in in Category 3","9","No"
"BATTERY KEMBLE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","24","52","1","1","52","1","40","48","0.00032","4.38 - 212.9","No","No exceedances","Keep in in Category 4a","5","Yes"
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","17","105","0","0","105","0","86","0","0.00032","4.38 - 212.9",NA,"No exceedances","Move to Category 3","2","Yes"
"BROAD BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","14","14","0","0","14","0","13","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Move to Category 3","2","No"
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","14","15","2","2","15","2","13","4","0.00032","4.38 - 212.9","Yes","NA - not sampled","Keep in in Category 4a","1","No"
"FENWICK BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","16","17","0","0","17","0","13","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Take no action","15","No"
"HICKEY RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","5","6","0","0","6","0","3","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Move to Category 3","2","Yes"
"KINGMAN LAKE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","13","25","1","1","25","1","15","20","0.00032","4.38 - 212.9","No","No exceedances","Keep in in Category 4a","5","Yes"
"KLINGLE VALLEY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0","1","0","0","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Move to Category 3","2","No"
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","14","14","0","0","14","0","13","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Keep in in Category 3","9","No"
"NASH RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","0","0","7","0","3","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Move to Category 3","2","Yes"
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","1","1","0","0","1","0","0","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Remove from Category 3","8","No"
