"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceed-ance","Class C CCC Criterion (ug/L)","ccc_dl_ratio_range","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Reevaluation Categorization Decision for Class C","Decision Logic Case #","Updated TMDL?"
"DALECARLIA TRIBUTARY","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Remove from Category 3","8","No"
"DUMBARTON OAKS","4_4_DDT","DDT",NA,"3","14","15","3","2","15","2","13","9","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 5","7","No"
"FENWICK BRANCH","4_4_DDT","DDT",NA,"4a","1","1","1","0","1","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Move to Category 3","2","No"
"FORT DUPONT TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","9","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18","No"
"FORT STANTON TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","16","17","0","0","17","0","13","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Not listed - take no action","15","No"
"HICKEY RUN","4_4_DDT","DDT",NA,"3","5","6","0","0","6","0","3","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Keep in Category 3","9","No"
"KINGMAN LAKE","4_4_DDT","DDT",NA,"3","13","25","3","2","25","2","15","10","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 5","7","Yes"
"KLINGLE VALLEY","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Remove from Category 3","8","No"
"LUZON BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDT","DDT",NA,"3","14","14","2","2","14","2","13","10","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 5","7","No"
"NASH RUN","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","3","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Keep in Category 3","9","No"
"NORMANSTONE CREEK","4_4_DDT","DDT",NA,"Not Listed","1","1","0","0","1","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Not listed - take no action","15","No"
"OXON RUN","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Remove from Category 3","8","No"
"PINEHURST BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Remove from Category 3","8","No"
"PINEY BRANCH","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Remove from Category 3","8","No"
"POPE BRANCH","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","4","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Keep in Category 3","9","No"
"PORTAL BRANCH","4_4_DDT","DDT",NA,"3","1","2","0","0","2","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Remove from Category 3","8","No"
"POTOMAC LOWER","4_4_DDT","DDT",NA,"Not Listed","13","13","0","0","13","0","13","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","4_4_DDT","DDT",NA,"Not Listed","13","13","0","0","13","0","13","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18","No"
"ROCK CREEK LOWER","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","6","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","Yes","Move to Category 3","18","No"
"ROCK CREEK UPPER","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Not listed - take no action","15","No"
"SOAPSTONE CREEK","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","4_4_DDT","DDT",NA,"4a","6","6","1","1","6","1","3","3","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336","No","Keep in Category 4a","5","Yes"
"TIDAL BASIN","4_4_DDT","DDT",NA,"3","3","3","0","0","3","0","0","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","4_4_DDT","DDT",NA,"3","7","19","0","0","19","0","12","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Keep in Category 3","9","No"
"WATTS BRANCH LOWER","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","4","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Keep in Category 3","9","No"
"WATTS BRANCH UPPER","4_4_DDT","DDT",NA,"3","13","13","0","0","13","0","13","0","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Keep in Category 3","9","No"
"BATTERY KEMBLE CREEK","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Not listed - take no action","15","No"
"C&O CANAL","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.28 - 3.7","1.1000000000000001","0.000255 - 0.00336",NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","ACENAPHTHENE","PAH1",NA,"4a","24","52","0","0","52","0","40","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","ACENAPHTHENE","PAH1",NA,"4a","14","56","2","0","56","0","37","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"BROAD BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","14","14","0","0","14","0","13","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"DALECARLIA TRIBUTARY","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"DUMBARTON OAKS","ACENAPHTHENE","PAH1",NA,"3","14","15","0","0","15","0","13","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","10","No"
"FENWICK BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"FORT STANTON TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","19","20","0","0","20","0","16","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"HICKEY RUN","ACENAPHTHENE","PAH1",NA,"4a","5","6","2","0","6","0","3","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"KINGMAN LAKE","ACENAPHTHENE","PAH1",NA,"4a","13","25","0","0","25","0","15","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"KLINGLE VALLEY","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"LUZON BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","14","14","0","0","14","0","13","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","10","No"
"NASH RUN","ACENAPHTHENE","PAH1",NA,"4a","6","7","2","0","7","0","3","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"NORMANSTONE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","1","1","0","0","1","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"OXON RUN","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"PINEHURST BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"PINEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"POPE BRANCH","ACENAPHTHENE","PAH1",NA,"4a","6","7","0","0","7","0","4","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"PORTAL BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","2","0","0","2","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"POTOMAC LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"ROCK CREEK UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"SOAPSTONE CREEK","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","6","6","0","0","6","0","3","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"TIDAL BASIN","ACENAPHTHENE","PAH1",NA,"3","3","3","0","0","3","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","ACENAPHTHENE","PAH1",NA,"3","7","19","0","0","19","0","12","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","10","No"
"WATTS BRANCH LOWER","ACENAPHTHENE","PAH1",NA,"3","3","3","0","0","3","0","0","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","8","No"
"WATTS BRANCH UPPER","ACENAPHTHENE","PAH1",NA,"3","13","13","0","0","13","0","13","0","50","0.00028 - 0.00142","no criteria",NA,NA,"Remove from Category 3","10","No"
"BATTERY KEMBLE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"C&O CANAL","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","50","0.00028 - 0.00142","no criteria",NA,NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"4a","24","52","2","0","52","0","40","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"ANACOSTIA UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"4a","14","56","5","0","56","0","37","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"BROAD BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"DALECARLIA TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"DUMBARTON OAKS","BENZO_A_ANTHRACENE","PAH2",NA,"3","14","15","0","0","15","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FENWICK BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FORT DUPONT TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT STANTON TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","19","20","1","0","20","0","16","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"HICKEY RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","5","6","2","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KINGMAN LAKE","BENZO_A_ANTHRACENE","PAH2",NA,"4a","13","25","3","0","25","0","15","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KLINGLE VALLEY","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"LUZON BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"NASH RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","7","3","0","7","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"NORMANSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"OXON RUN","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEHURST BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POPE BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","7","1","0","7","0","4","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"PORTAL BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","2","0","0","2","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POTOMAC LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC MIDDLE","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"SOAPSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"TEXAS AVENUE TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","6","1","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"TIDAL BASIN","BENZO_A_ANTHRACENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WASHINGTON SHIP CHANNEL","BENZO_A_ANTHRACENE","PAH2",NA,"3","7","19","2","0","19","0","12","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"3","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"BATTERY KEMBLE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"C&O CANAL","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT CHAPLIN TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT DAVIS TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FOUNDRY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ANACOSTIA LOWER","BENZO_A_PYRENE","PAH3",NA,"4a","24","52","2","0","52","0","40","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"ANACOSTIA UPPER","BENZO_A_PYRENE","PAH3",NA,"4a","14","56","4","0","56","0","37","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"BROAD BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","15","15","1","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"DALECARLIA TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"DUMBARTON OAKS","BENZO_A_PYRENE","PAH3",NA,"3","15","16","0","0","15","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FENWICK BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","2","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FORT DUPONT TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT STANTON TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","19","20","0","0","20","0","16","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"HICKEY RUN","BENZO_A_PYRENE","PAH3",NA,"4a","5","6","0","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KINGMAN LAKE","BENZO_A_PYRENE","PAH3",NA,"4a","13","25","2","0","25","0","15","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KLINGLE VALLEY","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"LUZON BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","3","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"NASH RUN","BENZO_A_PYRENE","PAH3",NA,"4a","6","7","2","0","7","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"NORMANSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","2","2","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"OXON RUN","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEHURST BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","4","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","3","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POPE BRANCH","BENZO_A_PYRENE","PAH3",NA,"4a","6","7","0","0","7","0","4","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"PORTAL BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","1","2","0","0","2","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POTOMAC LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC MIDDLE","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","14","21","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","6","23","4","0","0","0","0","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"SOAPSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"3","2","2","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"TEXAS AVENUE TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","6","6","0","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"TIDAL BASIN","BENZO_A_PYRENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WASHINGTON SHIP CHANNEL","BENZO_A_PYRENE","PAH3",NA,"3","7","19","1","0","19","0","12","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH LOWER","BENZO_A_PYRENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH UPPER","BENZO_A_PYRENE","PAH3",NA,"3","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"BATTERY KEMBLE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"C&O CANAL","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT CHAPLIN TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT DAVIS TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FOUNDRY BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ANACOSTIA LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","24","52","2","0","52","0","40","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
