"waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","n_c_exceedance","n_c_exceedance_2011_to_2021","n_c_exceedance_2016_to_2021","n_since_most_recent_c_exceedance","most_recent_c_exceedance_date","current_category","ccc_criterion","ccc_dl_ratio_range","ccc_dl_ratio","cmc_criterion","cmc_dl_ratio_range","cmc_dl_ratio","c_criterion","c_dl_ratio","d_criterion","d_dl_ratio_range","d_dl_ratio","tidal_type","fish_tissue_results_class_d","updated_tmdl","d_decision_case_number","decision_category","d_decision_description"
"KINGMAN LAKE","BENZO_A_ANTHRACENE",NA,"PAH2",25,2019,3,"2016",13,0,0,3,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,10,25,2019,3,"2016",0,0,3,15,2019,1,"2016",0,0,1,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Tidal","No exceedances","Yes",1,"Category 4a","Keep in Category 4a"
"KLINGLE VALLEY","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"LUZON BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"NASH RUN","BENZO_A_ANTHRACENE",NA,"PAH2",7,2019,3,"2018",6,0,0,3,NA,"Never",NA,"Never",2018-10-12,"2018",0,0,1,7,2019,3,"2018",0,0,3,3,2019,1,"2018",0,0,1,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","Yes",1,"Category 4a","Keep in Category 4a"
"NORMANSTONE CREEK","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"OXON RUN","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"PINEHURST BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"PINEY BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"POPE BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,4,7,2019,1,"2014",0,0,1,4,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","Yes",5,"Category 4a","Keep in Category 4a"
"PORTAL BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"POTOMAC LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Tidal","No exceedances","No",15,"Category 2","Not listed - take no action"
"POTOMAC MIDDLE","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",0,0,10,13,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Tidal","No exceedances","No",18,"Category 3","Move to Category 3"
"POTOMAC UPPER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",0,0,9,13,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Tidal","No exceedances","No",18,"Category 3","Move to Category 3"
"ROCK CREEK LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",0,0,11,13,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",18,"Category 3","Move to Category 3"
"ROCK CREEK UPPER","BENZO_A_ANTHRACENE",NA,"PAH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"SOAPSTONE CREEK","BENZO_A_ANTHRACENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",6,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,3,6,2019,1,"2014",0,0,1,3,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","Yes",5,"Category 4a","Keep in Category 4a"
"TIDAL BASIN","BENZO_A_ANTHRACENE",NA,"PAH2",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Tidal","No exceedances","No",8,"Category 2","Remove from Category 3"
"WASHINGTON SHIP CHANNEL","BENZO_A_ANTHRACENE",NA,"PAH2",19,2016,2,"2016",7,0,0,2,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,4,19,2016,2,"2016",0,0,2,12,2016,2,"2016",0,0,2,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Tidal","No exceedances","No",7,"Category 5","Move to Category 5"
"WATTS BRANCH LOWER","BENZO_A_ANTHRACENE",NA,"PAH2",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"WATTS BRANCH UPPER","BENZO_A_ANTHRACENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"BATTERY KEMBLE CREEK","BENZO_A_ANTHRACENE",NA,"PAH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"C&O CANAL","BENZO_A_ANTHRACENE",NA,"PAH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT DAVIS TRIBUTARY","BENZO_A_ANTHRACENE",NA,"PAH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FOUNDRY BRANCH","BENZO_A_ANTHRACENE",NA,"PAH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","10.8 - 63.1","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"ANACOSTIA LOWER","BENZO_A_PYRENE",NA,"PAH3",52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",0,0,18,52,2021,2,"2016",0,0,2,40,2021,2,"2016",0,0,2,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Tidal","No exceedances","Yes",1,"Category 4a","Keep in Category 4a"
"ANACOSTIA UPPER","BENZO_A_PYRENE",NA,"PAH3",56,2019,4,"2016",14,0,0,4,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,28,56,2019,4,"2016",0,0,4,37,2019,1,"2016",0,0,1,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Tidal","No exceedances","Yes",1,"Category 4a","Keep in Category 4a"
"BROAD BRANCH","BENZO_A_PYRENE",NA,"PAH3",15,2021,1,"2020",15,0,0,1,NA,"Never",NA,"Never",2020-10-07,"2020",0,0,8,14,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",18,"Category 3","Move to Category 3"
"DALECARLIA TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"DUMBARTON OAKS","BENZO_A_PYRENE",NA,"PAH3",16,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"FENWICK BRANCH","BENZO_A_PYRENE",NA,"PAH3",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"FORT DUPONT TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT STANTON TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,0,"Never",0,0,0,16,2021,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","Yes",2,"Category 3","Move to Category 3"
"HICKEY RUN","BENZO_A_PYRENE",NA,"PAH3",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","Yes",2,"Category 3","Move to Category 3"
"KINGMAN LAKE","BENZO_A_PYRENE",NA,"PAH3",25,2019,2,"2016",13,0,0,2,NA,"Never",NA,"Never",2016-06-15,"2016",0,0,15,25,2019,2,"2016",0,0,2,15,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Tidal","No exceedances","Yes",1,"Category 4a","Keep in Category 4a"
"KLINGLE VALLEY","BENZO_A_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"LUZON BRANCH","BENZO_A_PYRENE",NA,"PAH3",3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_PYRENE",NA,"PAH3",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"NASH RUN","BENZO_A_PYRENE",NA,"PAH3",7,2019,2,"2018",6,0,0,2,NA,"Never",NA,"Never",2018-10-12,"2018",0,0,1,7,2019,2,"2018",0,0,2,3,2019,1,"2018",0,0,1,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","Yes",1,"Category 4a","Keep in Category 4a"
"NORMANSTONE CREEK","BENZO_A_PYRENE",NA,"PAH3",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"OXON RUN","BENZO_A_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"PINEHURST BRANCH","BENZO_A_PYRENE",NA,"PAH3",4,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"PINEY BRANCH","BENZO_A_PYRENE",NA,"PAH3",3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"POPE BRANCH","BENZO_A_PYRENE",NA,"PAH3",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","Yes",2,"Category 3","Move to Category 3"
"PORTAL BRANCH","BENZO_A_PYRENE",NA,"PAH3",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"POTOMAC LOWER","BENZO_A_PYRENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Tidal","No exceedances","No",15,"Category 2","Not listed - take no action"
"POTOMAC MIDDLE","BENZO_A_PYRENE",NA,"PAH3",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",0,0,10,13,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Tidal","No exceedances","No",18,"Category 3","Move to Category 3"
"POTOMAC UPPER","BENZO_A_PYRENE",NA,"PAH3",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",0,0,9,13,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Tidal","No exceedances","No",18,"Category 3","Move to Category 3"
"ROCK CREEK LOWER","BENZO_A_PYRENE",NA,"PAH3",21,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"ROCK CREEK UPPER","BENZO_A_PYRENE",NA,"PAH3",23,2008,4,"2008",6,0,0,4,NA,"Never",NA,"Never",2008-09-06,"2008",0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"SOAPSTONE CREEK","BENZO_A_PYRENE",NA,"PAH3",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",6,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","Yes",2,"Category 3","Move to Category 3"
"TIDAL BASIN","BENZO_A_PYRENE",NA,"PAH3",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Tidal","No exceedances","No",8,"Category 2","Remove from Category 3"
"WASHINGTON SHIP CHANNEL","BENZO_A_PYRENE",NA,"PAH3",19,2016,1,"2016",7,0,0,1,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,4,19,2016,1,"2016",0,0,1,12,2016,1,"2016",0,0,1,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Tidal","No exceedances","No",12,"Category 3","Keep in Category 3"
"WATTS BRANCH LOWER","BENZO_A_PYRENE",NA,"PAH3",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"WATTS BRANCH UPPER","BENZO_A_PYRENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"BATTERY KEMBLE CREEK","BENZO_A_PYRENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"C&O CANAL","BENZO_A_PYRENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","BENZO_A_PYRENE",NA,"PAH3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.00013","100 - 1540","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
