"Waterbody","Pollutant","Pollutant Group","Test Fraction","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"BROAD BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","25","0","0","25","0","24","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","26","0","0","26","0","24","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","24","1","1","24","1","24","8","0.0013","10.8 - 63.1","Yes","NA - not sampled","Move to Category 3","18"
"FORT STANTON TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","32","1","1","32","1","28","28","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in Category 4a","5"
"HICKEY RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","6","2","2","6","2","3","3","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in Category 4a","1"
"KINGMAN LAKE","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","25","3","3","25","3","3","10","0.0013","10.8 - 63.1","No","No exceedances","Keep in Category 4a","1"
"KLINGLE VALLEY","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","25","0","0","25","0","24","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","7","3","3","7","3","3","1","0.0013","10.8 - 63.1","Yes","NA - not sampled","Keep in Category 4a","1"
"NORMANSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","7","1","1","7","1","4","4","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in Category 4a","5"
"PORTAL BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","2","0","0","2","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","24","1","1","24","1","24","4","0.0013","10.8 - 63.1","Yes","No exceedances","Move to Category 3","18"
"POTOMAC MIDDLE","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","24","1","1","24","1","24","21","0.0013","10.8 - 63.1","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","24","1","1","24","1","24","20","0.0013","10.8 - 63.1","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","24","2","2","24","2","24","9","0.0013","10.8 - 63.1","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","D","6","1","1","6","1","3","3","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in Category 4a","5"
"TIDAL BASIN","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","3","0","0","3","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","19","2","2","19","2","0","4","0.0013","10.8 - 63.1","No","No exceedances","Move to Category 5","7"
"WATTS BRANCH LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","3","0","0","3","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"3","D","24","1","1","24","1","24","3","0.0013","10.8 - 63.1","Yes","NA - not sampled","Keep in Category 3","12"
"BATTERY KEMBLE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","BENZO_A_PYRENE","PAH3",NA,"4a","D","63","2","2","63","2","27","29","0.00013","100 - 1540","No","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","BENZO_A_PYRENE","PAH3",NA,"4a","D","56","4","4","56","4","19","28","0.00013","100 - 1540","No","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","26","1","1","25","1","24","19","0.00013","100 - 1540","Yes","NA - not sampled","Move to Category 3","18"
"DALECARLIA TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_A_PYRENE","PAH3",NA,"3","D","27","0","0","26","0","24","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","2","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","D","32","0","0","32","0","28","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Move to Category 3","2"
"HICKEY RUN","BENZO_A_PYRENE","PAH3",NA,"4a","D","6","0","0","6","0","3","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","BENZO_A_PYRENE","PAH3",NA,"4a","D","25","2","2","25","2","3","15","0.00013","100 - 1540","No","No exceedances","Keep in Category 4a","1"
"KLINGLE VALLEY","BENZO_A_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","3","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","25","0","0","25","0","24","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","BENZO_A_PYRENE","PAH3",NA,"4a","D","7","2","2","7","2","3","1","0.00013","100 - 1540","Yes","NA - not sampled","Keep in Category 4a","1"
"NORMANSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","2","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","BENZO_A_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","4","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","3","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","BENZO_A_PYRENE","PAH3",NA,"4a","D","7","0","0","7","0","4","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Move to Category 3","2"
"PORTAL BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","D","2","0","0","2","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","4","0.00013","100 - 1540","Yes","No exceedances","Move to Category 3","18"
"POTOMAC MIDDLE","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","21","0.00013","100 - 1540","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","20","0.00013","100 - 1540","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","32","1","1","24","1","24","9","0.00013","100 - 1540","Yes","NA - not sampled","Move to Category 3","18"
"ROCK CREEK UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","23","4","4","0","0","0","0","0.00013","100 - 1540","No","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"3","D","2","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","D","6","0","0","6","0","3","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Move to Category 3","2"
"TIDAL BASIN","BENZO_A_PYRENE","PAH3",NA,"3","D","3","0","0","3","0","0","No exceedance","0.00013","100 - 1540","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_A_PYRENE","PAH3",NA,"3","D","19","1","1","19","1","0","4","0.00013","100 - 1540","No","No exceedances","Keep in Category 3","12"
"WATTS BRANCH LOWER","BENZO_A_PYRENE","PAH3",NA,"3","D","3","0","0","3","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_A_PYRENE","PAH3",NA,"3","D","24","1","1","24","1","24","3","0.00013","100 - 1540","Yes","NA - not sampled","Keep in Category 3","12"
"BATTERY KEMBLE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","63","2","2","63","2","27","29","0.0013","11.5 - 13.1","No","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","56","7","7","56","7","19","28","0.0013","11.5 - 13.1","No","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","25","0","0","25","0","24","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","26","0","0","26","0","24","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","8","0.0013","11.5 - 13.1","Yes","NA - not sampled","Move to Category 3","18"
"FORT STANTON TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","32","1","1","32","1","28","28","0.0013","11.5 - 13.1","No","NA - not sampled","Keep in Category 4a","5"
"HICKEY RUN","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","6","0","0","6","0","3","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","25","3","3","25","3","3","10","0.0013","11.5 - 13.1","No","No exceedances","Keep in Category 4a","1"
"KLINGLE VALLEY","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","25","0","0","25","0","24","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","7","1","1","7","1","3","1","0.0013","11.5 - 13.1","Yes","NA - not sampled","Keep in Category 4a","5"
"NORMANSTONE CREEK","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","7","1","1","7","1","4","4","0.0013","11.5 - 13.1","No","NA - not sampled","Keep in Category 4a","5"
"PORTAL BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","2","0","0","2","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","4","0.0013","11.5 - 13.1","Yes","No exceedances","Move to Category 3","18"
"POTOMAC MIDDLE","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","21","0.0013","11.5 - 13.1","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","20","0.0013","11.5 - 13.1","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","2","2","24","2","24","9","0.0013","11.5 - 13.1","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","D","6","1","1","6","1","3","3","0.0013","11.5 - 13.1","No","NA - not sampled","Keep in Category 4a","5"
"TIDAL BASIN","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","3","0","0","3","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","19","2","2","19","2","0","4","0.0013","11.5 - 13.1","No","No exceedances","Move to Category 5","7"
"WATTS BRANCH LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","3","0","0","3","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"3","D","24","1","1","24","1","24","3","0.0013","11.5 - 13.1","Yes","NA - not sampled","Keep in Category 3","12"
"BATTERY KEMBLE CREEK","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","63","2","2","63","2","27","29","0.013","4 - 7.38","No","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","56","4","4","56","4","19","28","0.013","4 - 7.38","No","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","25","0","0","25","0","24","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","26","0","0","26","0","24","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","8","0.013","4 - 7.38","Yes","NA - not sampled","Move to Category 3","18"
"FORT STANTON TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","32","0","0","32","0","28","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Move to Category 3","2"
"HICKEY RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","6","0","0","6","0","3","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","25","1","1","25","1","3","15","0.013","4 - 7.38","No","No exceedances","Keep in Category 4a","5"
"KLINGLE VALLEY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","25","0","0","25","0","24","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","7","1","1","7","1","3","1","0.013","4 - 7.38","Yes","NA - not sampled","Keep in Category 4a","5"
"NORMANSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","7","0","0","7","0","4","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Move to Category 3","2"
"PORTAL BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","2","0","0","2","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","4","0.013","4 - 7.38","Yes","No exceedances","Move to Category 3","18"
"POTOMAC MIDDLE","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","21","0.013","4 - 7.38","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","20","0.013","4 - 7.38","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","24","2","2","24","2","24","9","0.013","4 - 7.38","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","D","6","1","1","6","1","3","3","0.013","4 - 7.38","No","NA - not sampled","Keep in Category 4a","5"
"TIDAL BASIN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","3","0","0","3","0","0","No exceedance","0.013","4 - 7.38","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","19","2","2","19","2","0","4","0.013","4 - 7.38","No","No exceedances","Move to Category 5","7"
"WATTS BRANCH LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","3","0","0","3","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","D","24","1","1","24","1","24","3","0.013","4 - 7.38","Yes","NA - not sampled","Keep in Category 3","12"
"BATTERY KEMBLE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
