"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_c","most_recent_class_c_exceedance","number_of_samples_since_last_class_c_exceedance","has_there_been_multi_class_c_exceedance_in_3yr","when_was_last_period_with_multi_class_c_exceedance"
"POPE BRANCH","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","Yes (CCC), No (CMC)","2018 - 2021 (CCC), Never (CMC)"
"TIDAL BASIN","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","DDD",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA UPPER","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BROAD BRANCH","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FENWICK BRANCH","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KLINGLE VALLEY","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","Yes (CCC), No (CMC)","2018 - 2021 (CCC), Never (CMC)"
"ROCK CREEK UPPER","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"TIDAL BASIN","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","DDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","Yes (CCC), No (CMC)","2018 - 2021 (CCC), Never (CMC)"
"ANACOSTIA UPPER","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","Yes (CCC), No (CMC)","2018 - 2021 (CCC), Never (CMC)"
"BROAD BRANCH","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"DALECARLIA TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","Yes (CCC), No (CMC)","2018 - 2021 (CCC), Never (CMC)"
"FENWICK BRANCH","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"KLINGLE VALLEY","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","Yes (CCC), No (CMC)","2018 - 2021 (CCC), Never (CMC)"
"NASH RUN","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TIDAL BASIN","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","DDT",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","DIELDRIN",NA,"","","52","40","2021","2","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"ANACOSTIA UPPER","DIELDRIN",NA,"","","105","86","2019","38","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"BROAD BRANCH","DIELDRIN",NA,"","","14","13","2021","9","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"DALECARLIA TRIBUTARY","DIELDRIN",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","DIELDRIN",NA,"","","15","13","2021","14","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"FENWICK BRANCH","DIELDRIN",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","DIELDRIN",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","DIELDRIN",NA,"","","17","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","DIELDRIN",NA,"","","6","3","2019","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","DIELDRIN",NA,"","","25","15","2019","2","2018","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"KLINGLE VALLEY","DIELDRIN",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","DIELDRIN",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN",NA,"","","14","13","2021","9","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"NASH RUN","DIELDRIN",NA,"","","7","3","2019","1","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","DIELDRIN",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","DIELDRIN",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","DIELDRIN",NA,"","","2","0","2013","2","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","DIELDRIN",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","DIELDRIN",NA,"","","7","4","2019","2","2018","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"PORTAL BRANCH","DIELDRIN",NA,"","","2","0","2013","2","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"POTOMAC LOWER","DIELDRIN",NA,"","","13","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","DIELDRIN",NA,"","","13","13","2021","2","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"POTOMAC UPPER","DIELDRIN",NA,"","","13","13","2021","1","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","DIELDRIN",NA,"","","14","13","2021","5","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"ROCK CREEK UPPER","DIELDRIN",NA,"","","19","0","2000","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","DIELDRIN",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","DIELDRIN",NA,"","","6","3","2019","5","2018","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"TIDAL BASIN","DIELDRIN",NA,"","","3","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","DIELDRIN",NA,"","","19","12","2016","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","DIELDRIN",NA,"","","7","4","2019","4","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"WATTS BRANCH UPPER","DIELDRIN",NA,"","","13","13","2021","4","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"BATTERY KEMBLE CREEK","DIELDRIN",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","DIELDRIN",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
