"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"POTOMAC MIDDLE","4_4_DDT","DDT",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","3e-05","9.33 - 123","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","0","3e-05","9.33 - 123","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","4_4_DDT","DDT",NA,"Not Listed","13","13","1","1","13","1","13","6","3e-05","9.33 - 123","Yes","NA - not sampled","Move to Category 3","18"
"ROCK CREEK UPPER","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","4_4_DDT","DDT",NA,"3","1","1","0","0","1","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDT","DDT",NA,"4a","6","6","1","1","6","1","3","3","3e-05","9.33 - 123","No","NA - not sampled","Keep in Category 4a","5"
"TIDAL BASIN","4_4_DDT","DDT",NA,"3","3","3","0","0","3","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDT","DDT",NA,"3","7","19","0","0","19","0","12","No exceedance","3e-05","9.33 - 123","No exceedance","No exceedances","Keep in Category 3","9"
"WATTS BRANCH LOWER","4_4_DDT","DDT",NA,"3","6","7","0","0","7","0","4","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Keep in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDT","DDT",NA,"3","13","13","0","0","13","0","13","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","4_4_DDT","DDT",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3e-05","9.33 - 123","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","ACENAPHTHENE","PAH1",NA,"4a","24","52","0","0","52","0","40","No exceedance","90","0.000156 - 0.000789","No exceedance","No exceedances","Remove from Category 4a","3"
"ANACOSTIA UPPER","ACENAPHTHENE","PAH1",NA,"4a","14","56","2","0","56","0","37","No exceedance","90","0.000156 - 0.000789","No exceedance","No exceedances","Remove from Category 4a","3"
"BROAD BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","ACENAPHTHENE","PAH1",NA,"3","14","15","0","0","15","0","13","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","19","20","0","0","20","0","16","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 4a","3"
"HICKEY RUN","ACENAPHTHENE","PAH1",NA,"4a","5","6","2","0","6","0","3","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 4a","3"
"KINGMAN LAKE","ACENAPHTHENE","PAH1",NA,"4a","13","25","0","0","25","0","15","No exceedance","90","0.000156 - 0.000789","No exceedance","No exceedances","Remove from Category 4a","3"
"KLINGLE VALLEY","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","14","14","0","0","14","0","13","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","ACENAPHTHENE","PAH1",NA,"4a","6","7","2","0","7","0","3","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 4a","3"
"NORMANSTONE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","ACENAPHTHENE","PAH1",NA,"4a","6","7","0","0","7","0","4","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 4a","3"
"PORTAL BRANCH","ACENAPHTHENE","PAH1",NA,"3","1","2","0","0","2","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","90","0.000156 - 0.000789","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","90","0.000156 - 0.000789","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","90","0.000156 - 0.000789","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","ACENAPHTHENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Not listed - take no action","15"
"ROCK CREEK UPPER","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","ACENAPHTHENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ACENAPHTHENE","PAH1",NA,"4a","6","6","0","0","6","0","3","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 4a","3"
"TIDAL BASIN","ACENAPHTHENE","PAH1",NA,"3","3","3","0","0","3","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","ACENAPHTHENE","PAH1",NA,"3","7","19","0","0","19","0","12","No exceedance","90","0.000156 - 0.000789","No exceedance","No exceedances","Remove from Category 3","10"
"WATTS BRANCH LOWER","ACENAPHTHENE","PAH1",NA,"3","3","3","0","0","3","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","ACENAPHTHENE","PAH1",NA,"3","13","13","0","0","13","0","13","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","ACENAPHTHENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","90","0.000156 - 0.000789","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","ANTHRACENE","PAH1",NA,"4a","24","52","0","0","52","0","40","No exceedance","400","0.0000375-0.005","No exceedance","No exceedances","Remove from Category 4a","3"
"ANACOSTIA UPPER","ANTHRACENE","PAH1",NA,"4a","14","56","3","0","56","0","37","No exceedance","400","0.0000375-0.005","No exceedance","No exceedances","Remove from Category 4a","3"
"BROAD BRANCH","ANTHRACENE","PAH1",NA,"Not Listed","15","15","0","0","14","0","13","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","ANTHRACENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","ANTHRACENE","PAH1",NA,"3","15","16","0","0","15","0","13","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","ANTHRACENE","PAH1",NA,"3","2","2","0","0","1","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ANTHRACENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","ANTHRACENE","PAH1",NA,"4a","19","20","0","0","20","0","16","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 4a","3"
"HICKEY RUN","ANTHRACENE","PAH1",NA,"4a","5","6","2","0","6","0","3","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 4a","3"
"KINGMAN LAKE","ANTHRACENE","PAH1",NA,"4a","13","25","2","0","25","0","15","No exceedance","400","0.0000375-0.005","No exceedance","No exceedances","Remove from Category 4a","3"
"KLINGLE VALLEY","ANTHRACENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","ANTHRACENE","PAH1",NA,"3","2","3","0","0","1","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ANTHRACENE","PAH1",NA,"3","14","14","0","0","14","0","13","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","ANTHRACENE","PAH1",NA,"4a","6","7","2","0","7","0","3","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 4a","3"
"NORMANSTONE CREEK","ANTHRACENE","PAH1",NA,"Not Listed","2","2","0","0","1","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","ANTHRACENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","ANTHRACENE","PAH1",NA,"3","2","4","0","0","1","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","ANTHRACENE","PAH1",NA,"3","2","3","0","0","1","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","ANTHRACENE","PAH1",NA,"4a","6","7","0","0","7","0","4","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 4a","3"
"PORTAL BRANCH","ANTHRACENE","PAH1",NA,"3","1","2","0","0","2","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","ANTHRACENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","400","0.0000375-0.005","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","ANTHRACENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","400","0.0000375-0.005","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","ANTHRACENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","400","0.0000375-0.005","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","ANTHRACENE","PAH1",NA,"Not Listed","14","21","0","0","13","0","13","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Not listed - take no action","15"
"ROCK CREEK UPPER","ANTHRACENE","PAH1",NA,"Not Listed","6","23","4","0","0","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","ANTHRACENE","PAH1",NA,"3","2","2","0","0","1","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ANTHRACENE","PAH1",NA,"4a","6","6","1","0","6","0","3","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 4a","3"
"TIDAL BASIN","ANTHRACENE","PAH1",NA,"3","3","3","0","0","3","0","0","No exceedance","400","0.0000375-0.005","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","ANTHRACENE","PAH1",NA,"3","7","19","1","0","19","0","12","No exceedance","400","0.0000375-0.005","No exceedance","No exceedances","Remove from Category 3","10"
"WATTS BRANCH LOWER","ANTHRACENE","PAH1",NA,"3","3","3","0","0","3","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","ANTHRACENE","PAH1",NA,"3","13","13","0","0","13","0","13","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","ANTHRACENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","ANTHRACENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ANTHRACENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","ANTHRACENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","ANTHRACENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375-0.005","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"4a","24","52","2","2","52","2","40","18","0.0013","10.8 - 63.1","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"4a","14","56","5","5","56","5","37","28","0.0013","10.8 - 63.1","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_A_ANTHRACENE","PAH2",NA,"3","14","15","0","0","15","0","13","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","19","20","1","1","20","1","16","16","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in Category 4a","5"
"HICKEY RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","5","6","2","2","6","2","3","3","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in Category 4a","1"
"KINGMAN LAKE","BENZO_A_ANTHRACENE","PAH2",NA,"4a","13","25","3","3","25","3","15","10","0.0013","10.8 - 63.1","Yes","No exceedances","Keep in Category 4a","1"
"KLINGLE VALLEY","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","14","14","0","0","14","0","13","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","7","3","3","7","3","3","1","0.0013","10.8 - 63.1","Yes","NA - not sampled","Keep in Category 4a","1"
"NORMANSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","7","1","1","7","1","4","4","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in Category 4a","5"
"PORTAL BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","2","0","0","2","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.0013","10.8 - 63.1","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","10","0.0013","10.8 - 63.1","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","9","0.0013","10.8 - 63.1","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","11","0.0013","10.8 - 63.1","Yes","NA - not sampled","Move to Category 3","18"
"ROCK CREEK UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"4a","6","6","1","1","6","1","3","3","0.0013","10.8 - 63.1","No","NA - not sampled","Keep in Category 4a","5"
"TIDAL BASIN","BENZO_A_ANTHRACENE","PAH2",NA,"3","3","3","0","0","3","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_A_ANTHRACENE","PAH2",NA,"3","7","19","2","2","19","2","12","4","0.0013","10.8 - 63.1","Yes","No exceedances","Move to Category 5","7"
"WATTS BRANCH LOWER","BENZO_A_ANTHRACENE","PAH2",NA,"3","3","3","0","0","3","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_A_ANTHRACENE","PAH2",NA,"3","13","13","0","0","13","0","13","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","10.8 - 63.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","BENZO_A_PYRENE","PAH3",NA,"4a","24","52","2","2","52","2","40","18","0.00013","100 - 1540","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","BENZO_A_PYRENE","PAH3",NA,"4a","14","56","4","4","56","4","37","28","0.00013","100 - 1540","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","15","15","1","1","14","1","13","8","0.00013","100 - 1540","Yes","NA - not sampled","Move to Category 3","18"
"DALECARLIA TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_A_PYRENE","PAH3",NA,"3","15","16","0","0","15","0","13","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","2","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","19","20","0","0","20","0","16","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Move to Category 3","2"
"HICKEY RUN","BENZO_A_PYRENE","PAH3",NA,"4a","5","6","0","0","6","0","3","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","BENZO_A_PYRENE","PAH3",NA,"4a","13","25","2","2","25","2","15","15","0.00013","100 - 1540","No","No exceedances","Keep in Category 4a","1"
"KLINGLE VALLEY","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","3","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","14","14","0","0","14","0","13","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","BENZO_A_PYRENE","PAH3",NA,"4a","6","7","2","2","7","2","3","1","0.00013","100 - 1540","Yes","NA - not sampled","Keep in Category 4a","1"
"NORMANSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","2","2","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","BENZO_A_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","4","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","2","3","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","BENZO_A_PYRENE","PAH3",NA,"4a","6","7","0","0","7","0","4","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Move to Category 3","2"
