"Waterbody","Pollutant","Pollutant Group","Current Categorization in 2020 IR","Class C Decision","Class C Case #","Class D Decision","Class D Case #","Reconciliation of Class C and Class D Categorization Decision"
"TIDAL BASIN","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",12,"Keep in Category 3"
"WATTS BRANCH LOWER","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","BENZO_A_PYRENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"BATTERY KEMBLE CREEK","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","BENZO_A_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","BENZO_B_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","BENZO_B_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"FENWICK BRANCH","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"HICKEY RUN","BENZO_B_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"KINGMAN LAKE","BENZO_B_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"KLINGLE VALLEY","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"NASH RUN","BENZO_B_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"NORMANSTONE CREEK","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","BENZO_B_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"PORTAL BRANCH","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"POTOMAC UPPER","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK LOWER","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK UPPER","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"TIDAL BASIN","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Move to Category 5",7,"Move to Category 5"
"WATTS BRANCH LOWER","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","BENZO_B_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"BATTERY KEMBLE CREEK","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","BENZO_B_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","BENZO_K_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","BENZO_K_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"FENWICK BRANCH","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"HICKEY RUN","BENZO_K_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"KINGMAN LAKE","BENZO_K_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"KLINGLE VALLEY","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"NASH RUN","BENZO_K_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"NORMANSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","BENZO_K_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"PORTAL BRANCH","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"POTOMAC UPPER","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK LOWER","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK UPPER","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"TIDAL BASIN","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Move to Category 5",7,"Move to Category 5"
"WATTS BRANCH LOWER","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","BENZO_K_FLUORANTHENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"BATTERY KEMBLE CREEK","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","BENZO_K_FLUORANTHENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Keep in Category 4a",5,"Keep in Category 4a"
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"BROAD BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Keep in Category 4a",1,"Keep in Category 4a",1,"Keep in Category 4a"
"FENWICK BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"HICKEY RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"KINGMAN LAKE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Keep in Category 4a",5,"Keep in Category 4a"
"KLINGLE VALLEY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"NASH RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"POPE BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Keep in Category 4a",5,"Keep in Category 4a",5,"Keep in Category 4a"
"PORTAL BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Move to Category 3",18,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Keep in Category 4a",5,"Keep in Category 4a",5,"Keep in Category 4a"
"TIDAL BASIN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","CHRYSENE","PAH2","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","CHRYSENE","PAH2","4a","Remove from Category 4a",0,"Move to Category 3",6,"Move to Category 3"
"BROAD BRANCH","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"FENWICK BRANCH","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","CHRYSENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"HICKEY RUN","CHRYSENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"KINGMAN LAKE","CHRYSENE","PAH2","4a","Remove from Category 4a",0,"Move to Category 3",6,"Move to Category 3"
"KLINGLE VALLEY","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"NASH RUN","CHRYSENE","PAH2","4a","Remove from Category 4a",0,"Move to Category 3",6,"Move to Category 3"
"NORMANSTONE CREEK","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","CHRYSENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"PORTAL BRANCH","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",16,"Not listed - take no action"
"POTOMAC UPPER","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",16,"Not listed - take no action"
"ROCK CREEK LOWER","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",16,"Not listed - take no action"
"ROCK CREEK UPPER","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","CHRYSENE","PAH2","4a","Remove from Category 4a",0,"Move to Category 3",6,"Move to Category 3"
"TIDAL BASIN","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",13,"Remove from Category 3"
"WATTS BRANCH LOWER","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","CHRYSENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"BATTERY KEMBLE CREEK","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","CHRYSENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","DIBENZO_A_H_ANTHRACENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"ANACOSTIA UPPER","DIBENZO_A_H_ANTHRACENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"BROAD BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"FENWICK BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"HICKEY RUN","DIBENZO_A_H_ANTHRACENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"KINGMAN LAKE","DIBENZO_A_H_ANTHRACENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"KLINGLE VALLEY","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"NASH RUN","DIBENZO_A_H_ANTHRACENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"NORMANSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"PORTAL BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"POTOMAC UPPER","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK LOWER","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK UPPER","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"TIDAL BASIN","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Move to Category 5",7,"Move to Category 5"
"WATTS BRANCH LOWER","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","DIBENZO_A_H_ANTHRACENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"BATTERY KEMBLE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
